"http://www.rugbyrec.co.uk/uploads/1283853006Short v Parma 6x4.jpg","116","Peter Short",,"Bath v Parma 16/08/2006",,"0","0000-00-00"
"http://www.rugbyrec.co.uk/uploads/1283852748Maddock6x4.jpg","113","Joe Maddock",,"Wasps v Bath 18/05/2008",,"0","0000-00-00"
"http://www.rugbyrec.co.uk/uploads/1283852810Scott Hobson BvOsprey 09.jpg","114","Scott Hobson",,"Bath v Ospreys 14/11/2009",,"0","0000-00-00"
"http://www.rugbyrec.co.uk/uploads/1283852919Pieter Dixon BvWasps120909.jpg","115","Pieter Dixon",,"Bath v Wasps 12/09/2009",,"0","0000-00-00"
"http://www.rugbyrec.co.uk/uploads/1283852339Cheeseman LIrish2203086x4.jpg","110","Tom Cheeseman",,"Bath v London Irish 22/03/2008",,"0","0000-00-00"
"http://www.rugbyrec.co.uk/uploads/1283852532Copy of Jonny F B V Parma 171107.jpg","111","Jonny Faamatuainu",,"Bath v Parma 17/11/2007",,"0","0000-00-00"
"http://www.rugbyrec.co.uk/uploads/1283852663Lee MearsGlosvB60305.jpg","112","Lee Mears","Powergen semi-final","Glos v Bath 06/03/2005",,"0","0000-00-00"
"http://www.rugbyrec.co.uk/uploads/1283852147Shontayne Hape v Leics.jpg","108","Shontayne Hape",,"Bath v Leicester 26/09/2009",,"0","0000-00-00"
"http://www.rugbyrec.co.uk/uploads/1283852252Carraro BvSaracens.jpg","109","Matt Carraro",,"Bath v Saracens 31/10/2009",,"0","0000-00-00"
"http://www.rugbyrec.co.uk/uploads/1283852051Abendanon.jpg","107","Nick Abendanon",,"Bath v Parma 17/11/2007",,"0","0000-00-00"
"http://www.rugbyrec.co.uk/uploads/1283851983Aaron Jarvis BvSaracens.jpg","106","Aaron Jarvis",,"Bath v Saracens 31/10/2009",,"0","0000-00-00"
"http://www.rugbyrec.co.uk/uploads/1283851942Butch James v Sarries.jpg","105","Butch James",,"Bath v Saracens 03/05/2008",,"0","0000-00-00"
"http://www.rugbyrec.co.uk/uploads/1283851879Butch v Leeds.jpg","104","Butch James",,"Bath v Leeds 22/12/2007",,"0","0000-00-00"
"http://www.rugbyrec.co.uk/uploads/1283849836Beattie v Ospreys 071006.jpg","95","Andy Beattie",,"Bath v Ospreys 7/10/2006",,"0","0000-00-00"
"http://www.rugbyrec.co.uk/uploads/1283850757David Flatman2.jpg","100","David Flatman",,"Bristol v Bath 01/10/2006",,"0","0000-00-00"
"http://www.rugbyrec.co.uk/uploads/1283850831David Wilson.jpg","101","David Wilson",,"Bath v Stade Francaise 18/10/2009",,"0","0000-00-00"
"http://www.rugbyrec.co.uk/uploads/1283850914Julian Salvi Bv Leics 260909.jpg","102","Julian Salvi",,"Bath v Leicester 26/09/2009",,"0","0000-00-00"
"http://www.rugbyrec.co.uk/uploads/1283851844Butch WorcsvB190408.jpg","103","Butch James",,"Worcester v Bath 19/04/2008",,"0","0000-00-00"
"http://www.rugbyrec.co.uk/uploads/1283850693BARNES v Sale210105.jpg","99","David Barnes",,"Sale v Bath 21/01/2005",,"0","0000-00-00"
"http://www.rugbyrec.co.uk/uploads/1284035032Dallagio B Vwasps.jpg","127","Lawrence Dallagio",,"Bath v Wasps 28/01/2006",,"0","0000-00-00"
"http://www.rugbyrec.co.uk/uploads/1283850540Duncan Belll 6x4.jpg","97","Duncan Bell",,"Bath v Rotherham 11/10/2003",,"0","0000-00-00"
"http://www.rugbyrec.co.uk/uploads/1283849912David Barnes LeicvB.jpg","96","David Barnes",,"Leicester v Bath 22/09/2007",,"0","0000-00-00"
"http://www.rugbyrec.co.uk/uploads/1283849295Claasens Sarries vBath270108.jpg","93","Michael Claassens",,"Saracens v Bath 27/01/2008",,"0","0000-00-00"
"http://www.rugbyrec.co.uk/uploads/1283849341Claassens.jpg","94","Michael Claassens",,"Bath v Sale 26/04/2008",,"0","0000-00-00"
"http://www.rugbyrec.co.uk/uploads/1283849197Matt Banahan BvParma.jpg","91","Matt Banahan",,"Bath v Parma 17/11/2007",,"0","0000-00-00"
"http://www.rugbyrec.co.uk/uploads/1283849154Matt B v StadeF.jpg","90","Matt Banahan",,"Bath v Stade Francaise 18/10/2009",,"0","0000-00-00"
"http://www.rugbyrec.co.uk/uploads/1283700923Nick Abendanon BvNewcastle.jpg","87","Nick Abendanon",,"Bath v Newcastle 24/10/2009",,"0","0000-00-00"
